speeker,Datum,title,Gemiddelde zinlengte,Gemiddelde woordlengte,Moeilijkheids graad,Percentage 'We'
Edwards,2007-02-02,"Remarks at the DNC Winter Meeting in Washington, DC",19.097087378640776,4.177427554651754,1.207631874298541,2.541942043721403
Edwards,2007-03-15,"Remarks in Manchester, New Hampshire",23.181818181818183,4.3003921568627455,1.2486772486772486,2.2745098039215685
Edwards,2007-04-18,Excerpts of Remarks at the National Action Network Convention,26.818181818181817,4.418644067796611,1.0701754385964912,1.5254237288135595
Edwards,2007-05-23,"Remarks at the Council on Foreign Relations in New York City: ""A Strong Military for a New Century""",15.384210526315789,4.527882312692439,1.3591606133979015,1.7447827574409853
Edwards,2007-06-21,"Remarks at Cooper Union in New York City: ""Building One America""",18.874074074074073,4.351648351648351,1.4105960264900663,1.0596546310832025
Edwards,2007-07-26,Iowa,17.303030303030305,4.249562171628722,1.2931726907630523,1.4010507880910683
Edwards,2007-08-06,Iowa,14.033333333333333,4.095011876484561,1.4619883040935673,0.4750593824228029
Edwards,2007-08-23,"Remarks in Hanover, New Hampshire: ""To Build One America, End the Game""",20.65359477124183,4.290189873417722,1.2379603399433428,2.183544303797468
Edwards,2007-09-07,"Remarks at Pace University in New York City: ""A New Strategy Against Terrorism""",18.470319634703195,4.667490729295427,1.4192583732057416,1.903584672435105
Edwards,2007-10-13,"Remarks in Keene, New Hampshire",16.74869109947644,4.379806189434198,1.168813559322034,1.3441700531416068
Edwards,2007-10-26,"Remarks in Des Moines, Iowa: ""Renewing the Social Compact""",18.46206896551724,4.518490847964139,1.453712190650779,1.419499439671274
Edwards,2007-10-29,"Remarks at St. Anselm's College in Manchester, New Hampshire: ""The Moral Test of Our Generation""",21.2,4.266437964551172,1.3508064516129032,1.4579759862778732
Edwards,2007-11-05,Iowa,17.9375,4.490972442191954,1.35949177877429,1.7104846373139058
Edwards,2007-11-11,Iowa,21.48780487804878,4.224744608399546,1.3619302949061662,1.5891032917139614
Edwards,2007-11-30,"Excerpts of Remarks at the DNC Fall Meeting in Washington, DC",21.657894736842106,4.240583232077764,1.1715039577836412,1.9441069258809234
Edwards,2007-12-16,Iowa,15.27450980392157,4.06803594351733,1.3606060606060606,1.540436456996149
Edwards,2008-01-03,Iowa,17.658823529411766,4.16655562958028,1.3825396825396825,2.1985343104596935
Edwards,2008-01-08,Remarks Following the New Hampshire Primary,16.627450980392158,4.23938679245283,1.1743589743589744,1.2971698113207548
Edwards,2008-01-26,Remarks Following the South Carolina Primary,17.46153846153846,4.098384728340675,1.0267857142857142,1.0279001468428781
Edwards,2008-01-30,Remarks Announcing the End of Presidential Campaign Activities,18.24271844660194,4.004789781798829,1.1622554660529345,2.82064928153273
